"","member_casual","month","number_of_rides","average_duration"
"1","casual","Jan",17842,1564.45858087658
"2","casual","Feb",9964,3011.59504215175
"3","casual","Mar",83148,2313.62420022129
"4","casual","Apr",134945,2309.06684204676
"5","casual","May",86216,3095.2430407349
"6","casual","Jun",153319,3124.69722604504
"7","casual","Jul",266691,3623.68914211578
"8","casual","Aug",284375,2736.03201054945
"9","casual","Sep",226835,2325.59462164128
"10","casual","Oct",141922,1848.30709826524
"11","casual","Nov",86730,1934.87393058918
"12","casual","Dec",29665,1628.75422214731
"13","member","Jan",77573,783.357276371933
"14","member","Feb",38685,1103.36541295076
"15","member","Mar",142375,850.140172080773
"16","member","Apr",197477,895.048709469964
"17","member","May",111615,1203.48345652466
"18","member","Jun",185249,1140.16495635604
"19","member","Jul",276654,1082.51336687704
"20","member","Aug",325065,1027.89331364496
"21","member","Sep",295491,948.625883698658
"22","member","Oct",237996,857.519042336846
"23","member","Nov",168432,827.116124014439
"24","member","Dec",99832,774.700136228864
